CommandeID,DateCommande,Produit,QuantiteCommandee,Statut
1001,2026-05-09,Pinceau,6,livrée
1002,2026-05-23,Clous,27,En cours
1003,2026-05-23,Perceuse,72,En retard
1004,2026-05-10,Pinceau,31,En retard
1005,2026-05-27,Tournevis,4,livrée
1006,2026-05-27,Gants de travail,86,En retard
1007,2026-05-18,Scie,21,En cours
1008,2026-05-25,Perceuse,5,En retard
1009,2026-05-13,Scie,59,livrée
1010,2026-05-15,Scie,4,En cours
1011,2026-05-22,Rouleau peinture,36,En retard
1012,2026-05-23,Ruban à mesurer,83,En cours
1013,2026-05-22,Boyau d'arrosage,4,livrée
1014,2026-05-12,Ruban à mesurer,75,En retard
1015,2026-05-03,Ruban à mesurer,14,En cours
1016,2026-05-21,Lunettes de sécurité,56,En cours
1017,2026-05-08,Rallonge électrique,50,En retard
1018,2026-05-17,Échelle,6,En cours
1019,2026-06-03,Marteau,69,En cours
1020,2026-05-24,Échelle,56,livrée
1021,2026-05-21,Gants de travail,85,En retard
1022,2026-06-02,Pince,40,En cours
1023,2026-05-26,Gants de travail,90,livrée
1024,2026-05-13,Peinture blanche,54,En cours
1025,2026-05-12,Rouleau peinture,79,En cours
1026,2026-06-05,Rouleau peinture,1,livrée
1027,2026-05-28,Échelle,75,En cours
1028,2026-05-30,Gants de travail,57,livrée
1029,2026-06-02,Échelle,61,En cours
1030,2026-05-06,Tournevis,37,En cours
1031,2026-05-22,Sac de terre,12,En retard
1032,2026-05-20,Scie,29,En retard
1033,2026-05-02,Peinture blanche,6,livrée
1034,2026-05-05,Ampoule LED,59,livrée
1035,2026-05-13,Pelle,90,livrée
1036,2026-05-16,Rouleau peinture,19,En cours
1037,2026-05-07,Marteau,55,livrée
1038,2026-05-30,Rallonge électrique,7,En cours
1039,2026-05-30,Perceuse,18,En retard
1040,2026-06-05,Rallonge électrique,77,livrée
1041,2026-06-02,Cadenas,55,En retard
1042,2026-05-29,Boyau d'arrosage,21,En cours
1043,2026-05-29,Ampoule LED,34,En cours
1044,2026-06-03,Ruban à mesurer,63,En cours
1045,2026-05-29,Ruban à mesurer,10,En cours
1046,2026-05-18,Scie,43,livrée
1047,2026-05-06,Boyau d'arrosage,18,livrée
1048,2026-05-10,Rouleau peinture,28,livrée
1049,2026-05-22,Pinceau,70,En cours
1050,2026-05-14,Clous,54,livrée
1051,2026-05-02,Pelle,74,livrée
1052,2026-05-23,Marteau,39,En cours
1053,2026-06-04,Pinceau,70,En cours
1054,2026-06-01,Scie,29,livrée
1055,2026-05-02,Ampoule LED,50,livrée
1056,2026-05-11,Rouleau peinture,60,En retard
1057,2026-06-04,Sac de terre,4,En retard
1058,2026-05-02,Pelle,11,En cours
1059,2026-05-30,Peinture blanche,24,livrée
1060,2026-05-21,Rouleau peinture,28,En cours
1061,2026-05-25,Gants de travail,36,En cours
1062,2026-05-17,Pinceau,11,En cours
1063,2026-05-04,Boyau d'arrosage,45,livrée
1064,2026-05-03,Vis,4,En retard
1065,2026-05-02,Échelle,80,livrée
1066,2026-05-31,Peinture blanche,86,livrée
1067,2026-05-30,Échelle,90,livrée
1068,2026-05-11,Lunettes de sécurité,78,En cours
1069,2026-05-11,Perceuse,40,livrée
1070,2026-05-20,Marteau,74,En cours
1071,2026-05-26,Rouleau peinture,26,livrée
1072,2026-05-07,Scie,90,En cours
1073,2026-05-08,Sac de terre,73,En cours
1074,2026-06-04,Lunettes de sécurité,55,En cours
1075,2026-06-02,Vis,83,livrée
1076,2026-06-01,Pinceau,14,livrée
1077,2026-05-30,Lunettes de sécurité,20,livrée
1078,2026-05-18,Rallonge électrique,79,En retard
1079,2026-05-31,Boyau d'arrosage,60,livrée
1080,2026-05-18,Pelle,42,En retard
1081,2026-05-18,Vis,58,livrée
1082,2026-05-25,Cadenas,44,livrée
1083,2026-05-12,Gants de travail,63,livrée
1084,2026-05-22,Ruban à mesurer,36,En retard
1085,2026-06-05,Ruban à mesurer,2,En cours
1086,2026-05-06,Échelle,31,En cours
1087,2026-06-05,Ampoule LED,31,En cours
1088,2026-05-29,Ampoule LED,3,livrée
1089,2026-05-26,Scie,89,livrée
1090,2026-05-24,Pelle,61,En cours
1091,2026-05-28,Lunettes de sécurité,71,livrée
1092,2026-05-18,Cadenas,40,livrée
1093,2026-05-13,Perceuse,41,livrée
1094,2026-05-12,Boyau d'arrosage,25,livrée
1095,2026-05-18,Ampoule LED,76,En retard
1096,2026-05-19,Rallonge électrique,13,En retard
1097,2026-05-15,Pince,47,livrée
1098,2026-06-04,Marteau,17,livrée
1099,2026-06-05,Clous,38,En cours
1100,2026-06-01,Peinture blanche,14,En retard
