ProduitID,Produit,Categorie,Emplacement,StockActuel,StockMinimum
4,Perceuse,Outils électriques,B1,70,15
8,Scie,Outils,C2,26,35
18,Boyau d'arrosage,Jardin,F1,151,25
2,Clous,Quincaillerie,A1,23,15
8,Scie,Outils,C5,154,10
18,Boyau d'arrosage,Jardin,F2,139,25
8,Scie,Outils,C4,150,20
1,Marteau,Outils,A2,108,20
9,Ruban à mesurer,Outils,C2,55,20
4,Perceuse,Outils électriques,B1,97,10
12,Lunettes de sécurité,Sécurité,D3,154,20
2,Clous,Quincaillerie,A4,137,10
13,Rouleau peinture,Peinture,E1,141,20
20,Sac de terre,Jardin,G3,147,15
3,Vis,Quincaillerie,A1,58,20
3,Vis,Quincaillerie,A2,25,25
9,Ruban à mesurer,Outils,C4,93,15
12,Lunettes de sécurité,Sécurité,D3,53,35
9,Ruban à mesurer,Outils,C1,155,35
6,Tournevis,Outils,B5,62,15
15,Cadenas,Quincaillerie,E4,69,35
18,Boyau d'arrosage,Jardin,F2,83,10
8,Scie,Outils,C1,80,25
9,Ruban à mesurer,Outils,C1,54,30
11,Gants de travail,Sécurité,D2,127,25
15,Cadenas,Quincaillerie,E2,67,15
8,Scie,Outils,C5,137,20
19,Pelle,Jardin,G4,149,25
12,Lunettes de sécurité,Sécurité,D2,35,30
16,Ampoule LED,Électricité,F1,12,10
5,Peinture blanche,Peinture,B2,108,30
3,Vis,Quincaillerie,A4,97,30
15,Cadenas,Quincaillerie,E5,64,30
1,Marteau,Outils,A1,137,20
11,Gants de travail,Sécurité,D1,75,25
6,Tournevis,Outils,B4,0,35
9,Ruban à mesurer,Outils,C5,45,30
4,Perceuse,Outils électriques,B3,129,30
7,Échelle,Matériel,C2,95,15
18,Boyau d'arrosage,Jardin,F5,0,30
11,Gants de travail,Sécurité,D4,4,10
12,Lunettes de sécurité,Sécurité,D3,61,10
8,Scie,Outils,C5,20,10
16,Ampoule LED,Électricité,F1,136,15
5,Peinture blanche,Peinture,B4,140,15
9,Ruban à mesurer,Outils,C5,155,25
7,Échelle,Matériel,C5,51,35
10,Pince,Outils,D4,95,25
17,Rallonge électrique,Électricité,F4,30,15
8,Scie,Outils,C1,86,10
19,Pelle,Jardin,G5,58,30
8,Scie,Outils,C1,18,35
2,Clous,Quincaillerie,A2,17,10
11,Gants de travail,Sécurité,D1,131,15
9,Ruban à mesurer,Outils,C4,54,30
5,Peinture blanche,Peinture,B5,147,25
8,Scie,Outils,C4,104,15
4,Perceuse,Outils électriques,B1,110,20
14,Pinceau,Peinture,E4,119,35
2,Clous,Quincaillerie,A1,15,25
11,Gants de travail,Sécurité,D1,63,15
7,Échelle,Matériel,C5,114,15
14,Pinceau,Peinture,E2,71,25
8,Scie,Outils,C1,113,30
4,Perceuse,Outils électriques,B1,138,10
3,Vis,Quincaillerie,A2,42,25
16,Ampoule LED,Électricité,F4,54,25
2,Clous,Quincaillerie,A2,97,10
13,Rouleau peinture,Peinture,E3,116,20
14,Pinceau,Peinture,E5,124,15
7,Échelle,Matériel,C3,55,10
19,Pelle,Jardin,G5,15,35
11,Gants de travail,Sécurité,D1,12,30
16,Ampoule LED,Électricité,F5,135,15
2,Clous,Quincaillerie,A5,20,15
3,Vis,Quincaillerie,A5,17,35
8,Scie,Outils,C4,30,30
8,Scie,Outils,C5,152,10
20,Sac de terre,Jardin,G1,107,35
19,Pelle,Jardin,G5,133,20
9,Ruban à mesurer,Outils,C2,80,15
9,Ruban à mesurer,Outils,C4,33,35
10,Pince,Outils,D4,80,10
1,Marteau,Outils,A4,159,30
4,Perceuse,Outils électriques,B1,137,15
17,Rallonge électrique,Électricité,F3,33,20
3,Vis,Quincaillerie,A2,94,20
6,Tournevis,Outils,B4,139,35
10,Pince,Outils,D5,135,10
18,Boyau d'arrosage,Jardin,F3,26,15
9,Ruban à mesurer,Outils,C1,27,35
18,Boyau d'arrosage,Jardin,F2,69,20
20,Sac de terre,Jardin,G2,87,15
9,Ruban à mesurer,Outils,C5,125,20
2,Clous,Quincaillerie,A1,108,20
2,Clous,Quincaillerie,A1,85,15
9,Ruban à mesurer,Outils,C2,113,30
14,Pinceau,Peinture,E5,2,10
3,Vis,Quincaillerie,A2,139,10
12,Lunettes de sécurité,Sécurité,D5,141,15
