ReceptionID,DateReception,Produit,QuantiteRecue
5001,2026-05-19,Pelle,61
5002,2026-05-29,Ampoule LED,44
5003,2026-05-04,Tournevis,33
5004,2026-05-08,Ampoule LED,9
5005,2026-06-01,Rouleau peinture,10
5006,2026-05-04,Pelle,20
5007,2026-05-20,Peinture blanche,11
5008,2026-05-08,Scie,72
5009,2026-05-15,Pinceau,100
5010,2026-05-25,Rallonge électrique,58
5011,2026-05-20,Cadenas,76
5012,2026-05-20,Pinceau,73
5013,2026-05-04,Sac de terre,79
5014,2026-05-14,Perceuse,81
5015,2026-05-17,Échelle,85
5016,2026-05-11,Vis,31
5017,2026-06-05,Tournevis,10
5018,2026-05-01,Tournevis,53
5019,2026-05-31,Cadenas,38
5020,2026-05-15,Clous,37
5021,2026-05-30,Pince,10
5022,2026-05-17,Scie,81
5023,2026-05-13,Pelle,55
5024,2026-06-04,Perceuse,29
5025,2026-05-18,Peinture blanche,19
5026,2026-05-04,Vis,22
5027,2026-05-19,Pince,57
5028,2026-05-30,Perceuse,89
5029,2026-05-26,Pince,35
5030,2026-06-04,Rallonge électrique,64
5031,2026-05-06,Cadenas,77
5032,2026-05-28,Clous,95
5033,2026-05-17,Gants de travail,4
5034,2026-05-15,Vis,87
5035,2026-05-02,Pelle,98
5036,2026-05-03,Ruban à mesurer,98
5037,2026-05-31,Tournevis,67
5038,2026-05-18,Cadenas,24
5039,2026-05-28,Pelle,82
5040,2026-05-06,Ampoule LED,61
5041,2026-05-27,Lunettes de sécurité,43
5042,2026-05-07,Gants de travail,21
5043,2026-05-27,Gants de travail,89
5044,2026-05-19,Ampoule LED,85
5045,2026-06-05,Rouleau peinture,5
5046,2026-05-06,Cadenas,41
5047,2026-05-21,Ruban à mesurer,15
5048,2026-06-02,Rouleau peinture,1
5049,2026-05-30,Boyau d'arrosage,53
5050,2026-05-13,Clous,67
5051,2026-06-01,Lunettes de sécurité,81
5052,2026-05-04,Cadenas,27
5053,2026-06-05,Ruban à mesurer,17
5054,2026-05-29,Pince,90
5055,2026-05-08,Ampoule LED,4
5056,2026-05-16,Sac de terre,91
5057,2026-05-20,Tournevis,71
5058,2026-06-05,Marteau,53
5059,2026-05-15,Vis,15
5060,2026-05-08,Cadenas,83
5061,2026-06-01,Peinture blanche,92
5062,2026-06-02,Pince,91
5063,2026-05-27,Ruban à mesurer,62
5064,2026-05-16,Ampoule LED,59
5065,2026-05-10,Boyau d'arrosage,50
5066,2026-06-02,Échelle,96
5067,2026-05-05,Peinture blanche,36
5068,2026-05-22,Pinceau,65
5069,2026-05-01,Ruban à mesurer,37
5070,2026-06-01,Pince,20
5071,2026-06-04,Cadenas,62
5072,2026-05-22,Lunettes de sécurité,71
5073,2026-05-25,Boyau d'arrosage,59
5074,2026-05-13,Gants de travail,90
5075,2026-05-25,Scie,30
5076,2026-05-03,Pinceau,41
5077,2026-05-25,Ampoule LED,50
5078,2026-06-01,Peinture blanche,5
5079,2026-06-02,Peinture blanche,76
5080,2026-05-07,Gants de travail,57
5081,2026-06-03,Perceuse,59
5082,2026-05-10,Marteau,53
5083,2026-05-05,Peinture blanche,61
5084,2026-05-22,Ruban à mesurer,80
5085,2026-05-06,Rouleau peinture,43
5086,2026-05-25,Boyau d'arrosage,41
5087,2026-06-04,Ampoule LED,5
5088,2026-05-05,Sac de terre,31
5089,2026-05-15,Pince,96
5090,2026-05-28,Vis,13
5091,2026-05-29,Perceuse,22
5092,2026-05-02,Pince,6
5093,2026-05-04,Gants de travail,38
5094,2026-05-24,Lunettes de sécurité,56
5095,2026-05-16,Peinture blanche,68
5096,2026-05-12,Pinceau,22
5097,2026-05-06,Tournevis,79
5098,2026-05-16,Rouleau peinture,64
5099,2026-05-10,Pelle,30
5100,2026-05-17,Cadenas,59
